,0
0,Community Manager
1,Community Manager
2,Community Manager
3,Community Manager
4, UI/UX Designer
5,Community Manager
6,Community Manager
7, Twitter Meme Lord
8,Community Manager
9, Translator - Chinese
10,Community Manager
11,Community Manager
12,Community Manager
13,Community Manager
14, Translator - Portuguese
15,Community Manager
16,Creative (e.g.
17, graphic design or NFT creation)
18, Translator - Korean
19,Community Manager
20,Twitter Meme Lord
21,Twitter Meme Lord
22,Twitter Meme Lord
23,Twitter Meme Lord
24,Writer
25,Writer
26,Writer
27,Writer
28,Writer
29,Writer
30,Writer
31,Writer
32,Data Analytics
33, Writer
34,Writer
35,Research Analyst
36,Research Analyst
37,Research Analyst
38,Product Management
39,Product Management
40,Frontend Dev
41,Frontend Dev
42,Frontend Dev
43,Frontend Dev
44,Frontend Dev
45,Ethereum Dev
46, Frontend Dev
47,Backend Dev
48, Frontend Dev
49,Creative (e.g.
50, graphic design or NFT creation)
51,Creative (e.g.
52, graphic design or NFT creation)
53,Creative (e.g.
54, graphic design or NFT creation)
55,Backend Dev
56, Ethereum Dev
57,Government and Regulatory Affairs
58,Government and Regulatory Affairs
59,Data Analytics
60, Translator - Spanish
61,Translator - Spanish
62,Translator - Spanish
63,Translator - Vietnamese
64,Data Analytics
65, Writer
66,Community Manager
67, Product Management
68, Research Analyst
69, Writer
70, Marketing
71,Data Analytics
72, Research Analyst
73, Business Development - DAOs
74,Security & Ops Management
75,Grateful Participant
76,Community Manager
77, Creative (e.g.
78, graphic design or NFT creation)
79, Product Management
80, Writer
81, My passion is around marketing
82, communications
83, customer service
84, and product development.  
85,Translator - Italian
86,Translator french (important for France and French Canada)
87,Translator - Italian
88,Frontend Dev
89, Product Management
90,Product Management
91, Translator - italian
92,Creative (e.g.
93, graphic design or NFT creation)
94, Research Analyst
95, Audio engineer happy to help with any audio needs for content 
96,Product Management
97,Government and Regulatory Affairs
98, Product Management
99,Data Analytics
100, Research Analyst
101,Translator - Spanish
102, Writer
103, Strategy
104, Business Development
105, Investor Relations 
106,Translator - Spanish
107, Writer
108,Research Analyst
109,Backend Dev
110, Ethereum Dev
111, Frontend Dev
112, Writer
113,Creative (e.g.
114, graphic design or NFT creation)
115, Research Analyst
116, Translator - German
117,Research Analyst
118, Translator - Spanish
119, Writer
120,Backend Dev
121, Community Manager
122, Creative (e.g.
123, graphic design or NFT creation)
124, Data Analytics
125, Ethereum Dev
126, Frontend Dev
127, Government and Regulatory Affairs
128, Product Management
129, Research Analyst
130, UI/UX Designer
131,puedo entrar solo para aprender?
132,Community Manager
133, Creative (e.g.
134, graphic design or NFT creation)
135, Twitter Meme Lord
136, UI/UX Designer
137,Backend Dev
138, Ethereum Dev
139,Data Analytics
140, Research Analyst
141, Translator - Spanish
142,Creative (e.g.
143, graphic design or NFT creation)
144,Translator - Spanish
145,Creative (e.g.
146, graphic design or NFT creation)
147, Tester. Integrations Headhunter. 
148,Government and Regulatory Affairs
149, Product Management
150, Digital Strategy - reach your target audience
151, engage them in banklessness
152, encourage and support  to community leader
153,Editor
154,Community Manager
155, Product Management
156, Writer
157,Backend Dev
158, Data Analytics
159, Translator - Vietnamese
160,Community Manager
161, Creative (e.g.
162, graphic design or NFT creation)
163,Creative (e.g.
164, graphic design or NFT creation)
165, UI/UX Designer
166, Musician
167,Translator - Chinese
168,open to recommendations on how I can help
169,Research Analyst
170, Writer
171,Creative (e.g.
172, graphic design or NFT creation)
173, UI/UX Designer
174, Musician
175, Strategist
176,Community Manager
177, Creative (e.g.
178, graphic design or NFT creation)
179, Research Analyst
180, Twitter Meme Lord
181, Writer
182, Potential Collab– DeFi Project: Gentlemen's Bank - 40K CAD & 10K+ NFTs
183,Backend Dev
184, Research Analyst
185, Translator - Spanish
186,Creative (e.g.
187, graphic design or NFT creation)
188, Twitter Meme Lord
189,Creative (e.g.
190, graphic design or NFT creation)
191, Product Management
192, UI/UX Designer
193,Product Management
194, Translator - Spanish
195,Data Analytics
196,Community Manager
197, Data Analytics
198, Translator Arabic
